time,angle,ang_vel,error,output
0.0,0.16,8.0,90.0,100.0
0.02,0.46399999999999997,15.2,89.84,100.0
0.04,0.8976,21.68,89.536,100.0
0.06,1.44784,27.512,89.1024,100.0
0.08,2.103056,32.7608,88.55216,100.0
0.1,2.8527504,37.48472,87.896944,100.0
0.12,3.68747536,41.736248,87.1472496,100.0
0.14,4.598727824,45.562623200000004,86.31252464,100.0
0.16,5.5788550416,49.00636088,85.401272176,100.0
0.18,6.62096953744,52.105724792000004,84.4211449584,100.0
0.2,7.718872583695999,54.8951523128,83.37903046256,100.0
0.22,8.8669853253264,57.40563708152,82.281127416304,100.0
0.24,10.060286792793761,59.665073373367996,81.1330146746736,100.0
0.26,11.294258113514385,61.698566036031195,79.93971320720624,100.0
0.28,12.564832302162946,63.52870943242807,78.70574188648561,100.0
0.3,13.868349071946652,65.17583848918527,77.43516769783706,100.0
0.32,15.201514164751986,66.65825464026675,76.13165092805335,100.0
0.34,16.561362748276785,67.99242917624007,74.79848583524802,100.0
0.36,17.945226473449107,69.19318625861605,73.43863725172321,100.0
0.38,19.350703826104198,70.27386763275445,72.05477352655089,100.0
0.4,20.775633443493778,71.246480869479,70.6492961738958,100.0
0.42,22.2180700991444,72.1218327825311,69.22436655650623,100.0
0.44,23.67626308922996,72.909649504278,67.7819299008556,100.0
0.46,25.148636780306962,73.6186845538502,66.32373691077004,100.0
0.48,26.633773102276265,74.25681609846518,64.85136321969304,100.0
0.5,28.13039579204864,74.83113448861866,63.366226897723735,100.0
0.52,29.637356212843773,75.34802103975679,61.86960420795136,100.0
0.54,31.153620591559395,75.81321893578111,60.36264378715623,100.0
0.56,32.678258532403454,76.231897042203,58.846379408440605,100.0
0.58,34.210432679163105,76.60870733798271,57.321741467596546,100.0
0.6,35.749389411246796,76.94783660418443,55.789567320836895,100.0
0.62,37.294450470122115,77.253052943766,54.250610588753204,100.0
0.64,38.8450054231099,77.5277476493894,52.705549529877885,100.0
0.66,40.40050488079891,77.77497288445046,51.1549945768901,100.0
0.68,41.96045439271902,77.99747559600542,49.59949511920109,100.0
0.7,43.52440895344712,78.19772803640487,48.03954560728098,100.0
0.72,45.09196805810241,78.37795523276438,46.47559104655288,100.0
0.74,46.66277125229217,78.54015970948794,44.90803194189759,100.0
0.76,48.23649412706295,78.68614373853914,43.33722874770783,100.0
0.78,49.81284471435665,78.81752936468523,41.76350587293705,100.0
0.8,51.39156024292098,78.9357764282167,40.18715528564335,100.0
0.82,52.97240421862888,79.04219878539503,38.60843975707902,100.0
0.84,54.55516379676599,79.13797890685552,37.02759578137112,100.0
0.86,56.139647417089385,79.22418101616996,35.44483620323401,100.0
0.88,57.72568267538045,79.30176291455297,33.860352582910615,100.0
0.9,59.3131144078424,79.37158662309767,32.27431732461955,100.0
0.92,60.90180296705816,79.4344279607879,30.6868855921576,100.0
0.94,62.49162267035234,79.49098516470912,29.09819703294184,100.0
0.96,64.0824604033171,79.5418866482382,27.508377329647658,100.0
0.98,65.67421436298538,79.58769798341439,25.9175395966829,100.0
1.0,67.26679292668685,79.62892818507295,24.32578563701462,100.0
1.02,68.86011363401816,79.66603536656565,22.733207073313153,100.0
1.04,70.45410227061635,79.69943182990909,21.139886365981837,100.0
1.06,72.04869204355471,79.72948864691818,19.545897729383654,100.0
1.08,73.64382283919923,79.75653978222637,17.95130795644529,100.0
1.1,75.2394405552793,79.78088580400373,16.35617716080077,100.0
1.12,76.83549649975137,79.80279722360336,14.760559444720698,100.0
1.14,78.43194684977624,79.82251750124303,13.164503500248628,100.0
1.16,80.02875216479862,79.84026575111872,11.568053150223761,100.0
1.18,81.62587694831876,79.85623917600685,9.971247835201382,100.0
1.2,83.22328925348688,79.87061525840616,8.374123051681238,100.0
1.22,84.8209603281382,79.88355373256555,6.7767107465131176,100.0
1.24,86.37402985212042,77.65347619911074,5.179039671861801,71.9784729975218
1.26,87.74988021889908,68.79251833893329,3.6259701478795847,-13.695128003329643
1.28,88.87729624643595,56.370801376843296,2.2501197811009206,-69.2808141024583
1.3,89.73260228938567,42.765302147486324,1.1227037535640534,-99.60523864590807
1.32,90.34237772804042,30.48877193273769,0.2673977106143326,-100.0
1.34,90.7311756228297,19.439894739463924,-0.3423777280404181,-100.0
1.36,90.92109372814005,9.495905265517532,-0.7311756228296957,-100.0
1.38,90.95965858279823,1.9282427329090899,-0.9210937281400504,-82.72590007570861
1.4,90.89405964452759,-3.2799469135321884,-0.9596585827982267,-62.692067164379615
1.42,90.76553044223553,-6.426460114602666,-0.8940596445275872,-43.431348655296205
1.44,90.60743093552213,-7.904975335670218,-0.76553044223553,-26.51451540659773
1.46,90.4447225043532,-8.135421558446618,-0.6074309355221317,-12.761796954292763
1.48,90.29441754241297,-7.515248097011234,-0.4447225043531944,-2.4171086801159802
1.5,90.16663345820204,-6.389204210546364,-0.29441754241297247,4.681488459546834
1.52,90.0659478308345,-5.034281368376821,-0.16663345820204256,8.950030263936334
1.54,89.99282473872566,-3.656154605442218,-0.06594783083450295,10.933732826211504
1.56,89.94495278893221,-2.3935974896720404,0.007175261274340983,11.211770690324446
1.58,89.91839734950608,-1.3277719713065779,0.055047211067787316,10.330822117478233
1.6,89.90851990453818,-0.4938722483947352,0.08160265049392024,8.76403157226481
